Address,Latitude,Longitude,MapAddress,Name
"Patiala Centre, Blue Area",33.70885980000001,73.0555516,"Din Pavallions Plaza, Jinnah Ave, Block I, Blue Area, G 7/2 Blue Area, Islamabad, Islamabad Capital Territory 44000, Pakistan",Shaheen Pharmacy
"School Road, F-6 Super market",33.72982,73.075307,"F-6 Markaz F 6 Markaz F-6, Islamabad, Islamabad Capital Territory, Pakistan",D. Watson Pharmacy
"Panther Plaza, F-8 Markaz Islamabad",33.711718,73.0408903,"Plot 16-B, Kohistan Rd, F-8 Markaz, F-8, Islamabad, ICT, Pakistan",New Islamabad Pharmacy
"I & T Centre, G-9/4 Islamabad",33.68393,73.04145,"G-9-4, G-9, Islamabad, ICT, Pakistan",Al-Muslim Pharmacy
Golra Railway Station,33.6705685,72.9476309,"Golra Rd, Islamabad, Islamabad Capital Territory, Pakistan",Adil Medical Store
Tarlai Kalan,33.6424851,73.13363199999999,"Java Rd, Burma Town, Islamabad, Islamabad Capital Territory, Pakistan",Al-Khizer Medical Store
Tarlai Kalan,33.6393616,73.1527368,"Lehtrar Rd, Dak Khana Stop, Tarlai Kalan, Tarlai Kalan, Islamabad, Islamabad Capital Territory 45550, Pakistan",Awan Medical Store
"Muhammadia Plaza, Main Civic Centre, Melody Market",33.7169396,73.0851668,"G-6 Markaz G 6 Markaz G-6, Islamabad, Islamabad Capital Territory, Pakistan",Saif Pharmacy
"Raja Farman Ali Road, Khanna Dak Islamabad",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Al-Siddique Distributor
"Ali Plaza, I-10 Markaz Islamabad",33.6458304,73.035342,"Fatima Plaza, Sohni Rd, I-10-1 Markaz, I-10, I 10 Markaz I-10, Islamabad, Islamabad Capital Territory 44000, Pakistan",Safe Medical Store
I-9 Markaz Islamabad,33.6566613,73.0558388,"I-9 Markaz I 9 Markaz I-9, Islamabad, Islamabad Capital Territory, Pakistan",Danish Pharmacy
"Rupail Plaza, I-10 Markaz Islamabad",33.6464374,73.0367686,"Mundair Palace, Korang Rd, I-10-1 Markaz, I-10, I 10 Markaz I-10, Islamabad, Islamabad Capital Territory 44000, Pakistan",Medicare Medical Store
"KRL Flat, Peshawar Road, Jhangi Syedan",33.6271796,72.946047,"Peshawar Rd, Jhangi Syedian, Jhangi Syedan, Islamabad, Islamabad Capital Territory, Pakistan",Talha Medical Store
"Simli Dam Road, Bhara kahu Islamabad",33.7387187,73.18576209999999,"Simly Dam Road, Muslim Town Bhara Kahu, Islamabad, Islamabad Capital Territory, Pakistan",New Health Care Pharmacy
"Bewal Market, G-9 Markaz Islamabad",33.6897639,73.0332779,"Bewal Market, Block 24, Mangla Rd, G-9 Markaz, G-9, G 9 Markaz G-9, Islamabad, Islamabad Capital Territory 44090, Pakistan",Adnan Medical Store
"Burma Town, Near Khanna Dak Islamabad",33.6351713,73.1325853,"Lehtrar Road, Burma Town, Islamabad, Islamabad Capital Territory, Pakistan",Al-Makkah Pharmacy
Akber Hospital Tarnol,33.6555905,72.9076669,"Tarnol, Islamabad, Islamabad Capital Territory, Pakistan",Akber Medical Store
"FGH, Chak Shahzad",33.6616936,73.14381159999999,"Chak Shahzad, Islamabad, Islamabad Capital Territory, Pakistan",Al-Salah Fair Price Pharmacy
"NIH Market, Chak Shahzad",33.6616936,73.14381159999999,"Chak Shahzad, Islamabad, Islamabad Capital Territory, Pakistan",Waleed Medical Store
"Khyber Plaza, Blue Area",33.70884,73.05583,"AK Fazal-ul-Haq Rd, Block I, Blue Area, Islamabad, ICT, Pakistan",Delight Medical Store
"Ground Floor, Rajgan, T. Chowk, Rawat Islamabad",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Imperative Life Care Services
Sngjani,33.6746148,72.8482247,"Sangjani, Islamabad, Islamabad Capital Territory, Pakistan",Zeeshan Medical Store
"Mushtaq Mansion, Blue Area",33.7211874,73.07974039999999,"Mushtaq Mansion Service Road,، A.K.M. Fazl-ul-Haq Road, G 6/2 Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",Al-Habib Pharmacy
I-10/3 Islamabad,33.6562966,73.03726429999999,"I-10/3 I 10/3 I-10, Islamabad, Islamabad Capital Territory, Pakistan",Ali Gohar & Company (Pvt) Ltd
Railway Crossing Tarnol,33.6856724,73.0445639,"Nishtar Market, Plot 21/1, St 55, G-9-4, G-9, G 9/4 G-9, Islamabad, Islamabad Capital Territory 44090, Pakistan",Umer Medical Store
I-10/2,33.6502212,73.0323787,"Rajput Market, St 1, I-10-2, I-10, I 10/2 I-10, Islamabad, Islamabad Capital Territory 46000, Pakistan",Al-Fateh Medical Store
I-10/3 Islamabad,33.6546268,73.0389541,"Street 3, Polt 31, Sector I-10 /3، I 10/3 I-10, Islamabad, Islamabad Capital Territory, Pakistan",Novartis Pharmacy Pakistan
Karachi Company G-9 Markaz Islamabad,33.6887024,73.03280819999999,"G-9 Markaz G 9 Markaz G-9, Islamabad, Islamabad Capital Territory, Pakistan",Al-Faiz Medical Store
I-8 Markaz Islamabad,33.6688091,73.07554449999999,"City Arcade, Tipu Sultan Rd, I-8 Markaz, I-8, I 8 Markaz I-8, Islamabad, Islamabad Capital Territory 44000, Pakistan",The Drug Source Distributor
"Main G.T. Road, Sangjani",33.675945,72.853314,"جی ٹی روڈ sangjani، Islamabad, Islamabad Capital Territory, Pakistan",Al-Falah Pharmacy
Babu Jee Shopping Mall Golra Sharif,33.6939092,72.97705909999999,"Golra E-11, Islamabad, Islamabad Capital Territory, Pakistan",Health One Pharmacy
"I&T Centre, Peshawar More, G-9/4 Islamabad",33.685749,73.04468729999999,"Nishtar Market, Shop 5, Block 17, St 55, G-9-4, G-9, G 9/4 G-9, Islamabad, Islamabad Capital Territory 44090, Pakistan",Tahir Medical Store
Model Town Hummak,33.6134848,73.0600208,"B-327, Iqbal Rd, Raja Bazar, Committe Chowk, Rawalpindi, Punjab 46000, Pakistan",Haji Medicine Co. Distributor
"Bismillah Plaza, G-8 Markaz Islamabad",33.6953876,73.0510113,"Pak media foundation plaza near alrasheed masjjid and utility store G-8 markaz، G 8 Markaz G-8, Islamabad, Islamabad Capital Territory, Pakistan",Unique Medical Store
I-9/3 Islamabad,33.66108,73.05875999999999,"I-9-3, I-9, Islamabad, ICT, Pakistan",Pharmanet Distributor
VIP Ghouri Town Islamabad,33.6266202,73.11997389999999,"Ghouri Town VIP Block Ghauri Town VIP Block Khanna, Islamabad, Islamabad Capital Territory, Pakistan",New Kamran Medical Store
"Hassan Arcade, F-11 Markaz Islamabad",33.6833491,72.9888739,"F-11 Markaz F 11 Markaz F-11, Islamabad, Islamabad Capital Territory, Pakistan",Shaheen Pharmacy
I-8 Mughal Market,33.6614954,73.0667037,"Mughal Market, Service Rd, I-8-1, I-8, I 8/1 I-8, Islamabad, Islamabad Capital Territory 44000, Pakistan",Al-Hafeez Medical Store
Industrial Triangle Kahuta Road,33.54596000000001,73.14471999999999,"Humak Town, Islamabad, ICT, Pakistan",Global Pharmaceuticals Pvt Ltd Distributors
Athal Chowk Barkau,33.7275236,73.226405,"Athal, Islamabad, Islamabad Capital Territory, Pakistan",Abbasi Medical Store
"Al-Baber Centre, F-8 Markaz Islamabad",33.7115769,73.0397898,"F-8 Markaz F 8 Markaz F-8, Islamabad, Islamabad Capital Territory, Pakistan",Lifeaid Pharmacy
Main Road Pak PWD Housing Lihi Bher Islamabad.,33.5708699,73.1452867,"PWD Housing Society Rawalpindi, Punjab, Pakistan",Hassan Pharmacy
"Rehmat Plaza, I-10 Markaz Islamabad",33.6466885,73.03717879999999,"Rehmat Plaza, Sohni Rd, I-10 Markaz, I-10, I 10 Markaz I-10, Islamabad, Islamabad Capital Territory 44000, Pakistan",Al-Haram Medical Store
Bani Gala,33.7122378,73.1612928,"Rajput St, Bani Gala, Islamabad, Islamabad Capital Territory 44000, Pakistan",Rajput Pharmacy
"Tarammri Chowk, Irfan Abad, Tarlai",33.6424851,73.13363199999999,"Java Rd, Burma Town, Islamabad, Islamabad Capital Territory, Pakistan",M.S. Pharmacy
Shahnawaz G-11 Markaz Islamabad,33.6684673,72.997131,"Shah Nawaz Plaza, Shop 4, Plot 11, Sachal Sarmast Rd, G-11 Markaz, G-11, G 11 Markaz G-11, Islamabad, Islamabad Capital Territory 44000, Pakistan",Al-Amin Pharmacy
"Bostan Plaza, Bani Gala",33.7130441,73.1615127,"Bani Gala, Rawalpindi, Islamabad Capital Territory, Pakistan",Eman Medical Store
F-11/2,33.682864,72.980684,"147 Street 20, F-11/2 F 11/2 F-11, Islamabad, Islamabad Capital Territory, Pakistan",Roche Pakistan Limited
"Al-Habib Main Murree Road, Bhara kahu Islamabad",33.7405438,73.1810247,"Murree Rd, Bhara Kahu, Islamabad, Islamabad Capital Territory, Pakistan",Umer Medical Store
"Iqbal Town, Service Road",31.513981,74.2854199,"Allama Iqbal Town, Lahore, Punjab, Pakistan",Al-Rehman Medical Store
"Near Jamia Masjid Al-Rehman, Blue Area",33.7223,73.08095,"Jinnah Ave, Block C, Blue Area, Islamabad, ICT, Pakistan",Blue Area Medical Store
I-9/3 Islamabad,33.6609779,73.054762,"I-9/3 I 9/3 I-9, Islamabad, Islamabad Capital Territory, Pakistan",Promed Distributors
"Awan Plaza, Sector G-8 Markaz Islamabad",33.699466,73.049318,"Suite # 6, 2nd Floor, Awan Plaza, G-8 Markaz, G 8 Markaz G-8, Islamabad, Islamabad Capital Territory 44000, Pakistan",Pakistan Pharmacy
"Kashif Plaza, G-8 Markaz Islamabad",33.6953682,73.0503914,"Nisar Plaza, G-8 Markaz, G-8, G 8 Markaz G-8, Islamabad, Islamabad Capital Territory 44000, Pakistan",A.S.M. Pharmaceuticals Distribution
Sector G-12 Islamabad.,33.6601929,72.97853529999999,"G-12, Islamabad, Islamabad Capital Territory, Pakistan",Saalim Medical Store
"I&T Centre, G-10/1 Islamabad",33.669752,73.01442279999999,"Service Rd W, G-10/1 G 10/1 G-10, Islamabad, Islamabad Capital Territory, Pakistan",Memon Medical Store
"Salman Market, F-11/2",33.6826482,72.9806217,"St 24, F-11-2, F-11, Islamabad, ICT، Pakistan",Healing Medical Store
"Jinnah Super Market, F-7 Markaz Islamabad",33.7211528,73.0575267,"Opposite To Flower Market، College Road، F 7 Markaz F-7, Islamabad, Islamabad Capital Territory, Pakistan",Legal Pharmacy
F-8 Markaz Islamabad,33.7105372,73.0420472,"Kohistan Road، F8-Markaz، Islamabad, Pakistan",Ali Pharmacy Inaptient Pharmacy
PWD Housing Society,33.5743339,73.1508558,"PWD Double Rd, PWD Housing Society Sector D PWD Society, Rawalpindi, Islamabad, Punjab, Pakistan",Shifa Pharmacy
"Power Market, Sector G-10/4",33.6784462,73.0213414,"G-10/4 G-10, Islamabad, Islamabad Capital Territory, Pakistan",Waqar Medical Store
"Jannat Arcade, G-11 Markaz Islamabad",33.6678638,72.9983249,"Al-Jannat Arcade, Shabbir Sharif Road, G-11 Markaz G 11 Markaz G-11, Islamabad, Islamabad Capital Territory 44000, Pakistan",Mustafa Medical Store
"Basement Asad Plaza, Lehtrar Road, Khanna Pull",33.6295271,73.1164162,"Asad Plaza, Lehtrar Rd, Khanna Dak, Bilal Town Khanna, Islamabad, Islamabad Capital Territory 44000, Pakistan",Harmain Pharmacy
"Jawa Road, Rawat Islamabad",33.4962757,73.19340629999999,"Jawa Rd, Rawat, Islamabad, Islamabad Capital Territory, Pakistan",Khurram Medical Store
"near Police Station Fateh Jang Road, Tarnol",33.6555905,72.9076669,"Tarnol, Islamabad, Islamabad Capital Territory, Pakistan",Kashmir Medical Store
"Fateh Jang Road, Tarnol",33.5672929,72.6505957,"Fateh Jang, Attock, Punjab, Pakistan",Tamman Medical Store
"Sultan Plaza, Gani Gala",1.3033833,103.8612836,"Jln Sultan, Singapore",Vigilant Veterinary Services (Pvt) Limited
"Fazal-e-Haq Road, Ratta Mansion Plaza, Blue Area",33.7119962,73.0619818,"Ratta Mansion, AKM Fazal-ul-Haq Rd, Block H, Blue Area, G 7/2 Blue Area, Islamabad, Islamabad Capital Territory 44000, Pakistan",Islamabad Pharmacy
Kohsar Cinema Building G-7 Markaz Islamabad,33.705238,73.068145,"Shop # 1-2, Kohsar Cinema Building. G-7 Markaz, Sitara Market, Islamabad، G 7 Markaz G-7, Islamabad, Islamabad Capital Territory 44000, Pakistan",Kohsar Medical Store
Adjacement PIA Building Blue Area,33.7185,73.0742384,"PIA Building, 49، A.K. Fazl-ul-Haq Rd, Block E G 6/2 Blue Area, Islamabad, Islamabad Capital Territory 44000, Pakistan",Nostrum Pharma Distributor
"Zeeshan Plaza, G-8 Markaz Islamabad",33.6988957,73.049387,"Zeeshan Plaza, G-8 Markaz, G-8, G 8 Markaz G-8, Islamabad, Islamabad Capital Territory 44000, Pakistan",Capital Medical Store
E-11/3,33.7045092,72.9792561,"Shop 4, Block 14, E-11-3, E-11, MPCHS E 11/2 E-11, Islamabad, Islamabad Capital Territory 44000, Pakistan",Al-Madina Medical Store
Korang Town Islamabad,33.5759348,73.1326869,"Korang Town (Extension), Islamabad, Rawalpindi, Punjab, Pakistan",Al-Shifa Pharmacy
"Grond Floor, Select One Plaza, F-11 Markaz Islamabad",33.624677,72.9724735,"Arej Tower Shop No. 2-3 Near Jameel Sweets E-, H-13, Islamabad, Rawalpindi, Islamabad Capital Territory, Pakistan",Boots Pharmacy
"Islamabad Arcade, G-11 Markaz Islamabad",33.6694204,72.9987214,"Islamabad Arcade, G-11 Markaz, G-11, G 11 Markaz G-11, Islamabad, Islamabad Capital Territory 44000, Pakistan",Azam Trading Services
I-9/3 Islamabad,33.6617123,73.0567611,"I-9/3 I-9, Islamabad, Islamabad Capital Territory, Pakistan",United Distributor
"Sara Hospital, Simly Dam Road, Bhara kahu Islamabad",33.738482,73.18661569999999,"Simly Dam Road, Bhara Kahu, Islamabad, Islamabad Capital Territory, Pakistan",Sara Medical Store
"Jawa Road, Main Bazar, Rawat Islamabad",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Imran Medical Store
Main Commercial soan Garden Islamabad,33.563363,73.149794,"Main double road, Commercial Market, Soan Garden, Block D Soan Gardens, Islamabad, Punjab, Pakistan",Safeway Pharmacy
