Address,Latitude,Longitude,MapAddress,Name,"Registration Status(Reg No,& Date & Relevant Law"
"No.6 Park Pavilion Plaza, 65-E, Fazal- e-Haq Road Blue Area Islamabad. 051-827986 ",33.7185255,73.07457579999999,"Fazal Plaza, Plot 50, AKM Fazal-ul-Haq Rd, Block E, Blue Area, G 6/2 Blue Area, Islamabad, Islamabad Capital Territory 44000, Pakistan",Hearts Welfare Society. ,"VSWA/ICT/352, Date 15.8.2001 VSWA Ordinance 1961 "
"Chattha Bakhtawar, Park Road, Chak Shahzad, Islamabad. ",33.6616936,73.14381159999999,"Chak Shahzad, Islamabad, Islamabad Capital Territory, Pakistan",Hosla Welfare Organization. ,"VSWA/ICT/504, Date 19-4-2007 VSWA Ordinance 1961 "
"#.1-A, Mezzanine Floor, Golden Plaza, Blue Area, Islamabad. 051- 2826843 ",33.7206831,73.0785209,"AKM Fazal-ul-Haq Rd, Block D, Blue Area, G 6/2 Blue Area, Islamabad, Islamabad Capital Territory 44000, Pakistan",Human Concern Pakistan ,"VSWA/ICT/386, Date 13.7.2002 VSWA Ordinance 1961 "
"Mughal Market, Rural Markaz, P.O. Tarlai, Islamabad. 051-2241264 ",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Human Friends Welfare Society ,"VSWA/ICT/470, Date 13.05.2005, VSWA Ordinance 1961 "
"H.No.496 St.15, I-10/2 Islamabad.051-448491 ",33.6492027,73.0295661,"496 Street 15, I-10/2 I 10/2 I-10, Islamabad, Islamabad Capital Territory, Pakistan",Human Resource Development Agency (HRDA). ,"VSWA/ICT/279, Date 15.12.1997 VSWA Ordinance 1961 "
House No.64 Khaban-e-Suherwardy G-6/4 Islamabad. 0514840331 ,33.7128347,73.0921755,"G-6/4 G-6, Islamabad, Islamabad Capital Territory, Pakistan",Human Rights Support Programme ,"VSWA/ICT/412, Date 27.8.2002 VSWA Ordinance 1961 "
"#.6, Block-12-C, Jinnah Super Market, Islamabad. 051-2650277 ",33.729408,73.0749822,"School Rd, F-6 Markaz F 6 Markaz F-6, Islamabad, Islamabad Capital Territory 44000, Pakistan","Humanity, Equality, Love, Patience ","VSWA/ICT/451, Date 22.9.2004 VSWA Ordinance 1961 "
House No.1 School Road Kurang Valley B.Kau Islamabad. 051- 7112385 ,33.7211322,73.0582022,"6 Bhittai Rd, F-7 Markaz F 7 Markaz F-7, Islamabad, Islamabad Capital Territory 44000, Pakistan",ICAN (Islamabad Christian Against Narcotics) ,"VSWA/ICT/313, Date 23.10.1999 VSWA Ordinance 1961 "
Farm No.6 Kurri Road Old Park Road Chakshahzad Islamabad ,33.6331578,73.0872339,"Kurri Rd, Rawalpindi, Punjab, Pakistan",Inter Help Foundation (IHF) ,"VSWA/ICT/369, Date 1.3.2002 VSWA Ordinance 1961 "
"Flat No. 20 , Block No. 12-F, Medicine Plaza, G-8 Markaz , Ibd.051-2855983 ",33.6967477,73.0501203,"G-8 Markaz G-8, Islamabad, Islamabad Capital Territory, Pakistan",Interfaith League Against Poverty ,"VSWA/ICT/492, Date 12.08.2006, VSWA Ordinance 1961 "
