Address,Latitude,Longitude,MapAddress,Name,Total Employees
G-6 islamabad,33.7115731,73.1034648,"Club Rd, Islamabad, Islamabad Capital Territory, Pakistan",best western regency hotel ,25
G-8 markaz Islamabad ,33.6967477,73.0501203,"G-8 Markaz G-8, Islamabad, Islamabad Capital Territory, Pakistan",quality in hotel ,13
block -20-B basement nadir plaza G-9 markaz Islamabad ,33.6885962,73.0330299,"Nadir Plaza, G-9 Markaz, G-9, G 9 Markaz G-9, Islamabad, Islamabad Capital Territory 44090, Pakistan",armon tech ,5
koshbia center 100 west blue area Islamabad ,33.7172931,73.07078,"Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",shah brothers general trade pvt ltd ,7
abrar plaza markaz F-10 Islamabad ,33.694642,72.9996626,"Street 8, F-10/2 F 10/3 F-10, Islamabad, Islamabad Capital Territory, Pakistan",yammi 36 ,5
plot # . 113 G-9/1 Islamabad ,33.6824079,73.03019680000001,"G-9/1 G 9/1 G-9, Islamabad, Islamabad Capital Territory, Pakistan",Ma shala wood works ,
plot # # 129 G-9/1 Islamabad ,33.6824079,73.03019680000001,"G-9/1 G 9/1 G-9, Islamabad, Islamabad Capital Territory, Pakistan",bismillah wood woks ,
plot # 389. st # 16. I-9 sector Islamabad ,33.662506,73.0560694,"Plot : 291, Street : 3, Sector : Street 3, I-9/3 I 9/3 I-9, Islamabad, Islamabad Capital Territory, Pakistan",anjah pvt ltd ,8
shop # 12. margalla plaza. F-10. Islamabad ,33.7182983,73.0366824,"Main Margalla Rd, Islamabad, Islamabad Capital Territory, Pakistan",super fine tailors ,
block # 15 sehool road F-7. markaz Islamabad ,33.7211404,73.0571301,"F-7 Markaz F 7 Markaz F-7, Islamabad, Islamabad Capital Territory, Pakistan",harolds food stores ,2
shop # 10 zikria plaza G-9 markaz Islamabad ,33.6876775,73.0338865,"G-9 Markaz G 9 Markaz G-9, Islamabad, Islamabad Capital Territory, Pakistan",mohd tayyeb jewlers ,1
masement margalla plaza markaz F-10 Islamabad ,33.6951859,73.013517,"Margalla Plaza, Plot 1V, Sumbal Rd, F-10 Markaz, F-10, F 10/3 F-10, Islamabad, Islamabad Capital Territory 44000, Pakistan",al-kuwait tailors ,3
shop # 16 basement margalla plaza markaz F-10 Islamabad ,33.6949602,73.01344019999999,"Margalla Plaza, Sumbal Rd, F 10/3 F-10, Islamabad, Islamabad Capital Territory 44000, Pakistan",danish tailors ,2
shop # 3 basement margalla plaza markaz F-10 Islamabad ,33.6952308,73.0128546,"F-10 Markaz F-10, Islamabad, Islamabad Capital Territory, Pakistan",ali tailors ,2
shop # 10. basement margalla plaza markaz F-10 Islamabad ,33.6951859,73.013517,"Margalla Plaza, Plot 1V, Sumbal Rd, F-10 Markaz, F-10, F 10/3 F-10, Islamabad, Islamabad Capital Territory 44000, Pakistan",alharam tailors ,4
shop # 17 basement margalla plaza F-10 markaz Islamabad ,33.6951859,73.013517,"Margalla Plaza, Plot 1V, Sumbal Rd, F-10 Markaz, F-10, F 10/3 F-10, Islamabad, Islamabad Capital Territory 44000, Pakistan",alrizvi tailors ,4
"5,  I&T Center G-8/4 Islamabad ",33.6839995,73.04105410000001,"Street 55, G-9/4 G 9/4 G-9, Islamabad, Islamabad Capital Territory, Pakistan",patti zan frenchers ,4
